Date,Attribute,Value
9/1/1983,Northern Territory,8.5511487
9/1/1983,Australian Capital Territory,6.4119193
10/1/1983,Australia,9.3452409
10/1/1983,New South Wales,10.383935
10/1/1983,Victoria,8.3704148
10/1/1983,Queensland,8.8521766
10/1/1983,South Australia,10.0318034
10/1/1983,Western Australia,9.2447937
10/1/1983,Tasmania,10.1482216
10/1/1983,Northern Territory,4.0932899
10/1/1983,Australian Capital Territory,6.3842093
11/1/1983,Australia,8.9224163
11/1/1983,New South Wales,9.5010264
11/1/1983,Victoria,8.0032513
11/1/1983,Queensland,8.6771135
11/1/1983,South Australia,9.7056301
11/1/1983,Western Australia,9.6927582
11/1/1983,Tasmania,10.0577937
11/1/1983,Northern Territory,6.0982399
11/1/1983,Australian Capital Territory,5.1428074
12/1/1983,Australia,9.6550164
12/1/1983,New South Wales,10.2223285
12/1/1983,Victoria,8.8721299
12/1/1983,Queensland,9.294927
12/1/1983,South Australia,10.2970133
12/1/1983,Western Australia,10.3527394
12/1/1983,Tasmania,10.3986596
12/1/1983,Northern Territory,6.7021496
12/1/1983,Australian Capital Territory,6.8251556
1/1/1984,Australia,10.2996195
1/1/1984,New South Wales,10.9799539
1/1/1984,Victoria,9.1602244
1/1/1984,Queensland,10.6715506
1/1/1984,South Australia,10.7985994
1/1/1984,Western Australia,10.4469272
1/1/1984,Tasmania,10.8961083
1/1/1984,Northern Territory,7.2651364
1/1/1984,Australian Capital Territory,7.6831498
2/1/1984,Australia,10.3703834
2/1/1984,New South Wales,10.9839001
2/1/1984,Victoria,9.604127
2/1/1984,Queensland,10.1957708
2/1/1984,South Australia,10.5187603
2/1/1984,Western Australia,10.7861712
2/1/1984,Tasmania,11.3268539
2/1/1984,Northern Territory,8.4429616
2/1/1984,Australian Capital Territory,7.92752
3/1/1984,Australia,9.7171554
3/1/1984,New South Wales,10.3239045
3/1/1984,Victoria,8.456147
3/1/1984,Queensland,10.145244
3/1/1984,South Australia,10.0551932
3/1/1984,Western Australia,10.446496
3/1/1984,Tasmania,9.7921672
3/1/1984,Northern Territory,8.6067427
3/1/1984,Australian Capital Territory,7.5829038
4/1/1984,Australia,9.4452821
4/1/1984,New South Wales,10.0018483
4/1/1984,Victoria,8.2982706
4/1/1984,Queensland,9.9306782
4/1/1984,South Australia,9.4928502
4/1/1984,Western Australia,9.7742561
4/1/1984,Tasmania,10.1608609
4/1/1984,Northern Territory,11.6144953
4/1/1984,Australian Capital Territory,7.0032937
5/1/1984,Australia,8.9201357
5/1/1984,New South Wales,9.453471
5/1/1984,Victoria,7.7204477
5/1/1984,Queensland,9.5815815
5/1/1984,South Australia,9.3361477
5/1/1984,Western Australia,9.2556601
5/1/1984,Tasmania,10.2544436
5/1/1984,Northern Territory,6.4884554
5/1/1984,Australian Capital Territory,5.4399428
6/1/1984,Australia,8.8684861
6/1/1984,New South Wales,9.4415733
6/1/1984,Victoria,7.604801
6/1/1984,Queensland,9.2170978
6/1/1984,South Australia,9.1114347
6/1/1984,Western Australia,9.8234167
6/1/1984,Tasmania,10.3734599
6/1/1984,Northern Territory,8.0639234
6/1/1984,Australian Capital Territory,5.0510103
7/1/1984,Australia,8.351755
7/1/1984,New South Wales,8.3837777
7/1/1984,Victoria,7.0595406
7/1/1984,Queensland,9.2475882
7/1/1984,South Australia,9.1569816
7/1/1984,Western Australia,9.5166721
7/1/1984,Tasmania,10.9450535
7/1/1984,Northern Territory,7.8788377
7/1/1984,Australian Capital Territory,5.1574921
8/1/1984,Australia,8.5431502
8/1/1984,New South Wales,8.851345
8/1/1984,Victoria,6.9975769
8/1/1984,Queensland,9.7463336
8/1/1984,South Australia,9.4966929
8/1/1984,Western Australia,8.8989984
8/1/1984,Tasmania,11.2033455
8/1/1984,Northern Territory,7.8311383
8/1/1984,Australian Capital Territory,4.1776193
9/1/1984,Australia,8.6210865
9/1/1984,New South Wales,8.8019824
9/1/1984,Victoria,7.3647382
9/1/1984,Queensland,9.3050664
9/1/1984,South Australia,9.9934968
9/1/1984,Western Australia,9.3588706
9/1/1984,Tasmania,10.4997722
9/1/1984,Northern Territory,7.3652986
9/1/1984,Australian Capital Territory,4.7398104
10/1/1984,Australia,8.1098213
10/1/1984,New South Wales,8.5673701
10/1/1984,Victoria,6.4701877
10/1/1984,Queensland,9.1838947
10/1/1984,South Australia,9.5036212
10/1/1984,Western Australia,8.4856791
10/1/1984,Tasmania,9.5156906
10/1/1984,Northern Territory,5.7323573
10/1/1984,Australian Capital Territory,4.0165492
11/1/1984,Australia,7.9916072
11/1/1984,New South Wales,8.3643329
11/1/1984,Victoria,6.6756119
11/1/1984,Queensland,9.4149474
11/1/1984,South Australia,8.5359182
11/1/1984,Western Australia,7.9433302
11/1/1984,Tasmania,9.1770472
